nodo_id,nodo_name,tipo_nodo,autostrada_id,km
1/21  [2445],FIRENZE SCANDICCI,ALLACCIAMENTO,A01,286.9
1/97  [70203],VILLA COSTANZA,CASELLO,A01,289.7
1/22  [384],FIRENZE IMPRUNETA,CASELLO,A01,295.5
1/23  [385],FIRENZE SUD,CASELLO,A01,300.9
10139,CHIANTI OVEST,DISTRIBUTORE,A01,305.6
1/24  [387],INCISA - REGGELLO,CASELLO,A01,319.9
10138,ARNO OVEST,DISTRIBUTORE,A01,321.5
1/25  [389],VALDARNO,CASELLO,A01,335.8
1/26  [390],AREZZO,CASELLO,A01,358.5
10137,BADIA AL PINO OVEST,DISTRIBUTORE,A01,362.3
1/27  [411],MONTE SAN SAVINO,CASELLO,A01,371.6
10136,LUCIGNANO OVEST,DISTRIBUTORE,A01,380.7
1/28  [413],VALDICHIANA,CASELLO,A01,385.4
10133,MONTEPULCIANO OVEST,DISTRIBUTORE,A01,395.0
1/29  [415],CHIUSI,CASELLO,A01,409.9
1/5002  [461],CAMBIO COMPETENZA A1 T04 - T05,CASELLO,A01,417.6
10134,FABRO OVEST,DISTRIBUTORE,A01,427.8
1/30  [425],FABRO,CASELLO,A01,427.8
1/31  [424],ORVIETO,CASELLO,A01,451.4
10142,TEVERE OVEST,DISTRIBUTORE,A01,464.7
1/32  [422],ATTIGLIANO,CASELLO,A01,479.5
10141,GIOVE OVEST,DISTRIBUTORE,A01,481.1
1/33  [420],ORTE,CASELLO,A01,491.3
1/34  [419],MAGLIANO SABINA,CASELLO,A01,500.9
10135,FLAMINIA OVEST,DISTRIBUTORE,A01,509.1
1/90  [2114],PONZANO ROMANO,CASELLO,A01,516.0
1/970  [167],BIVIO A1/DIRAMAZIONE ROMA NORD,ALLACCIAMENTO,A01,531.0
10140,MASCHERONE OVEST,DISTRIBUTORE,A01,535.6
1/93  [2748],GUIDONIA MONTECELIO,CASELLO,A01,555.469
1/971  [71033],BIVIO A1/A24,ALLACCIAMENTO,A01,561.7
10145,PRENESTINA OVEST,DISTRIBUTORE,A01,566.1
1/972  [169],BIVIO A1/DIRAMAZIONE ROMA SUD,ALLACCIAMENTO,A01,576.3
1/705  [459],VALMONTONE,CASELLO,A01,586.9
1/706  [460],COLLEFERRO,CASELLO,A01,592.9
1/707  [462],ANAGNI,CASELLO,A01,603.9
10147,LA MACCHIA OVEST,DISTRIBUTORE,A01,610.9
1/786  [2668],FERENTINO,CASELLO,A01,618.2
1/708  [440],FROSINONE,CASELLO,A01,624.2
1/5003  [717],CAMBIO COMPETENZA A1 T05 - T06,CASELLO,A01,633.3
1/709  [2560],CEPRANO,CASELLO,A01,642.0
1/710  [719],PONTECORVO,CASELLO,A01,658.9
10146,CASILINA OVEST,DISTRIBUTORE,A01,659.5
1/711  [721],CASSINO,CASELLO,A01,669.9
1/712  [769],SAN VITTORE,CASELLO,A01,679.0
1/713  [770],CAIANELLO,CASELLO,A01,701.1
10143,TEANO OVEST,DISTRIBUTORE,A01,708.4
1/714  [772],CAPUA,CASELLO,A01,720.1
1/776  [2597],SANTA MARIA CAPUA VETERE,CASELLO,A01,729.1
1/715  [681],CASERTA NORD,CASELLO,A01,733.9
10144,S.NICOLA OVEST,DISTRIBUTORE,A01,737.2
1/995  [707],BIVIO A1/A30 CASERTA-SALERNO,ALLACCIAMENTO,A01,738.5
1/965  [1124],BIVIO A1/RACCORDO CASERTA SUD,ALLACCIAMENTO,A01,739.6
1/779  [271],NAPOLI NORD,CASELLO,A01,739.7
35/716  [683],CASERTA SUD,CASELLO,A01,740.8
*/1297  [1002],NODO A1/VILLA LITERNO-POMIGLIANO,ALLACCIAMENTO,A01,746.001
*/1116  [1003],NODO A1/ACERRA-AFRAGOLA,ALLACCIAMENTO,A01,749.319
*/1157  [722],BIVIO A1/A16 NAPOLI-CANOSA,ALLACCIAMENTO,A01,753.1
*/1083  [684],NODO A1/SP1 CASORIA,ALLACCIAMENTO,A01,754.3
*/1249  [1801],BIVIO A1 NORD/DIRAMAZ. CAPODICHINO,CASELLO,A01,754.7
*/1250  [1802],BIV. A1 NORD/DIR.CAPODICHINO RAMO A,ALLACCIAMENTO,A01,754.8
*/5026  [2753],BIV. DIR.CAPODICHINO/A1 NORD RAMO B,ALLACCIAMENTO,A01,754.9
*/5025  [2752],BIV. DIR.CAPODICHINO/A1 NORD RAMO C,ALLACCIAMENTO,A01,755.9
*/5027  [2754],BIV. A1 NORD/DIR.CAPODICHINO RAMO D,ALLACCIAMENTO,A01,756.15
*/1355  [2050],NODO NAPOLI CENTRO DIREZIONALE,ALLACCIAMENTO,A01,757.92
*/1142  [70260],BIVIO A1/A3 NAPOLI-SALERNO,ALLACCIAMENTO,A01,759.8
*/1401  [70262],SALERNO,ALLACCIAMENTO,A02,0.0
*/1260  [2008],BIVIO A3/RACCORDO SA-AV (SALERNO PER/DA REGGIO CALABRIA),ALLACCIAMENTO,A02,3.0
*/1499  [2227],PONTECAGNANO,CASELLO,A02,13.0
*/1500  [2228],BATTIPAGLIA,CASELLO,A02,23.0
*/1501  [2229],EBOLI,CASELLO,A02,30.0
*/1502  [2230],CAMPAGNA,CASELLO,A02,36.1
*/1503  [2231],CONTURSI TERME,CASELLO,A02,46.0
*/1504  [2232],SICIGNANO A.-POTENZA,CASELLO,A02,54.0
*/1505  [2233],PETINA,CASELLO,A02,65.0
*/1506  [2234],POLLA,CASELLO,A02,76.0
*/1507  [2235],ATENA LUCANA,CASELLO,A02,83.0
*/1508  [2236],SALA CONSILINA,CASELLO,A02,88.0
*/1509  [2237],PADULA,CASELLO,A02,104.0
*/1510  [2238],LAGONEGRO NORD,CASELLO,A02,124.0
*/1511  [2239],LAGONEGRO SUD,CASELLO,A02,126.0
*/1512  [2240],LAURIA NORD,CASELLO,A02,138.0
*/1513  [2241],LAURIA SUD,CASELLO,A02,145.0
*/1514  [2242],LAINO BORGO,CASELLO,A02,153.0
*/1515  [2243],MORMANNO,CASELLO,A02,164.0
*/1516  [2244],CAMPOTENESE,CASELLO,A02,174.0
*/1517  [2245],MORANO CALABRO,CASELLO,A02,185.0
*/1518  [2246],FRASCINETO,CASELLO,A02,194.0
*/1519  [2247],SIBARI,CASELLO,A02,208.0
*/1520  [2248],ALTOMONTE,CASELLO,A02,214.0
*/1521  [2249],TARSIA NORD,CASELLO,A02,220.0
*/1522  [2250],TARSIA,CASELLO,A02,225.0
*/1523  [2251],TORANO,CASELLO,A02,235.0
*/1524  [2252],MONTALTO-UFFUGO,CASELLO,A02,246.0
*/1525  [2253],RENDE - COSENZA NORD,CASELLO,A02,253.0
*/1526  [2254],COSENZA,CASELLO,A02,259.0
*/1527  [2255],ROGLIANO-GRIMALDI,CASELLO,A02,273.0
*/1528  [2256],ALTILIA,CASELLO,A02,286.0
*/1529  [2257],SAN MANGO D'ACQUINO,CASELLO,A02,294.0
*/1530  [2258],FALERNA,CASELLO,A02,304.0
*/1531  [2259],LAMEZIA TERME,CASELLO,A02,320.0
*/1532  [2260],PIZZO CALABRO,CASELLO,A02,339.0
*/1533  [2261],VIBO VALENTIA-SANT'ONOFRIO,CASELLO,A02,348.0
*/1534  [2262],SERRA SAN BRUNO,CASELLO,A02,359.0
*/1535  [2263],MILETO DINAMI,CASELLO,A02,370.0
*/1536  [2264],ROSARNO,CASELLO,A02,383.0
*/1537  [2265],GIOIA TAURO,CASELLO,A02,393.0
*/1538  [2266],PALMI,CASELLO,A02,401.0
*/1539  [2267],SANT'ELIA MELICUCCA,CASELLO,A02,408.0
*/1540  [2268],BAGNARA CALABRA,CASELLO,A02,412.0
*/1541  [2269],SCILLA,CASELLO,A02,423.0
*/1542  [2270],S. TRADA,CASELLO,A02,427.0
*/1543  [2271],VILLA SAN GIOVANNI,CASELLO,A02,434.0
*/1544  [2272],CAMPO CALABRO,CASELLO,A02,435.0
*/1821  [2589],REGGIO C.-CATONA-ARGHILA',CASELLO,A02,436.2
*/1545  [2273],REGGIO CALABRIA - GALLICO,CASELLO,A02,437.0
*/1546  [2274],REGGIO CALABRIA PORTO,CASELLO,A02,441.0
*/1547  [2275],SS 106,CASELLO,A02,442.5
*/1548  [2276],REGGIO CALABRIA,CASELLO,A02,442.9
*/1395  [70256],NAPOLI STAZIONE,CASELLO,A03,0.0
*/1669  [70257],NAPOLI PORTO,CASELLO,A03,1.9
*/1396  [70258],NAPOLI VIA MARINA,CASELLO,A03,2.3
*/1397  [70259],SAN GIOVANNI,CASELLO,A03,2.5
*/3382  [3911],SAN GIOVANNI USCITA,CASELLO,A03,2.7
*/3383  [3912],VIA GIANTURCO,CASELLO,A03,2.701
*/1142  [70260],BIVIO A3/A1 MILANO-NAPOLI,ALLACCIAMENTO,A03,3.3
*/3384  [3913],VIA TAVERNOLA,CASELLO,A03,3.6
6/17  [70253],PONTICELLI,CASELLO,A03,4.8
6/1  [70241],NAPOLI SUD,CASELLO,A03,4.91
*/3385  [3914],REPUBBLICHE MARINARE,CASELLO,A03,5.1
*/1399  [70267],SAN GIORGIO-PONTICELLI,CASELLO,A03,5.3
*/2  [70263],SAN GIORGIO A CREMANO,CASELLO,A03,6.32
*/1284  [70266],SVINCOLO PORTICI SUD,CASELLO,A03,8.185
6/4  [70242],PORTICI ERCOLANO,CASELLO,A03,8.615
*/51  [70265],ERCOLANO - SCAVI,CASELLO,A03,9.957
6/5  [70243],TORRE DEL GRECO NORD,CASELLO,A03,12.884
6/15  [70251],TORRE ANNUNZIATA NORD,CASELLO,A03,17.31
6/6  [70244],TORRE ANNUNZIATA SCAVI,CASELLO,A03,19.654
10516,TORRE ANNUNZIATA OVEST,DISTRIBUTORE,A03,21.3
*/27  [70264],TORRE ANNUNZIATA SUD BOSCOREALE,CASELLO,A03,21.39
6/7  [70245],POMPEI SCAVI,CASELLO,A03,22.02
6/8  [70246],CASTELLAMMARE DI STABIA,CASELLO,A03,22.65
6/9  [70247],POMPEI CENTRO-SCAFATI,CASELLO,A03,25.3
6/19  [70255],DIRAMAZIONE SS 268,CASELLO,A03,28.295
6/10  [70248],ANGRI,CASELLO,A03,29.94
6/18  [70254],ANGRI SUD,CASELLO,A03,31.83
6/16  [70252],NOCERA SUD,CASELLO,A03,36.442
6/11  [70249],NOCERA BARRIERA,CASELLO,A03,36.443
10148,ALFATERNA OVEST,DISTRIBUTORE,A03,40.0
6/12  [70250],CAVA DE' TIRRENI,CASELLO,A03,42.7
*/1402  [70261],VIETRI SUL MARE,CASELLO,A03,48.48
*/1401  [70262],SALERNO,ALLACCIAMENTO,A03,51.6
*/1163  [855],TORINO CORSO GIULIO CESARE,CASELLO,A04,0.0
*/1143  [4025],ALLAC. A05/TANGENZIALE TORINO,ALLACCIAMENTO,A04,2.2
*/1706  [3090],SV.SETTIMO T.SE OVEST,CASELLO,A04,2.67
3699,SETTIMO SUD,DISTRIBUTORE,A04,3.2
*/1015  [774],TORINO SETTIMO,CASELLO,A04,4.1
*/1832  [2626],VOLPIANO SUD,CASELLO,A04,9.4
*/1026  [776],BRANDIZZO,CASELLO,A04,11.7
*/1033  [11],CHIVASSO OVEST,CASELLO,A04,13.5
*/1038  [777],CHIVASSO CENTRO,CASELLO,A04,17.2
*/1041  [12],CHIVASSO EST,ALLACCIAMENTO,A04,20.1
*/1490  [2217],RONDISSONE,CASELLO,A04,23.4
10150,SAN ROCCO SUD,DISTRIBUTORE,A04,24.2
1/420  [773],TORINO RONDISSONE,CASELLO,A04,24.3
1/426  [868],BORGO D'ALE,CASELLO,A04,36.8
1/976  [541],NODO A4/DIRAMAZIONE A26 TRAFORI,ALLACCIAMENTO,A04,43.8
1/429  [870],SANTHIA',CASELLO,A04,45.2
1/430  [871],CARISIO,CASELLO,A04,54.4
1/432  [872],BALOCCO,CASELLO,A04,60.0
3718,VILLARBOIT SUD,DISTRIBUTORE,A04,64.2
1/433  [854],GREGGIO,CASELLO,A04,67.5
1/975  [1027],NODO A4/A26 TRAFORI,ALLACCIAMENTO,A04,72.4
1/434  [874],BIANDRATE,CASELLO,A04,73.6
1/436  [875],NOVARA OVEST,CASELLO,A04,82.9
10503,NOVARA SUD,DISTRIBUTORE,A04,88.7
1/437  [2105],NOVARA EST,ALLACCIAMENTO,A04,90.5
1/440  [2669],MARCALLO MESERO,CASELLO,A04,105.4
1/441  [2670],ARLUNO,CASELLO,A04,110.5
1/442  [791],RHO,CASELLO,A04,118.4
10152,RHO SUD,DISTRIBUTORE,A04,119.0
1/962  [1123],BIVIO A4/TANGENZIALE OVEST MI,ALLACCIAMENTO,A04,120.8
1/443  [792],MILANO GHISOLFA,CASELLO,A04,120.9
*/1283  [760],GHISOLFA SVINCOLO (TANG. OVEST MI),ALLACCIAMENTO,A04,121.0
*/1801  [2565],NODO DI PERO,ALLACCIAMENTO,A04,122.0
*/1802  [2566],PERO PIAZZALE SUD EST,CASELLO,A04,122.8
*/1045  [794],NODO DI PERO,CASELLO,A04,122.9
*/1191  [150],CAMBIO COMPETENZA A4 TO/MI - T02,CASELLO,A04,125.0
*/1146  [148],NODO A4/A8 MILANO-VARESE,ALLACCIAMENTO,A04,125.5
*/1410  [2127],BIVIO A4/RACCORDO VIALE CERTOSA,ALLACCIAMENTO,A04,126.1
*/1022  [142],CORMANO,CASELLO,A04,129.8
10155,LAMBRO SUD,DISTRIBUTORE,A04,133.6
*/1035  [278],SESTO SAN GIOVANNI,CASELLO,A04,136.4
*/1301  [104],BIVIO A4/TANGENZIALE NORD MI,ALLACCIAMENTO,A04,138.1
1/654  [279],MILANO EST,CASELLO,A04,138.2
1/656  [187],MONZA,ALLACCIAMENTO,A04,138.9
1/655  [1121],BIVIO A4/RACCORDO TANG. EST MI,ALLACCIAMENTO,A04,143.9
1/653  [186],AGRATE,CASELLO,A04,145.8
1/5042  [70120],BIVIO A4/A58,ALLACCIAMENTO,A04,147.6
10154,BRIANZA SUD,DISTRIBUTORE,A04,148.4
1/652  [188],CAVENAGO,CASELLO,A04,150.0
1/651  [2462],TREZZO,CASELLO,A04,157.1
1/650  [190],CAPRIATE,CASELLO,A04,160.6
3740,BREMBO SUD,DISTRIBUTORE,A04,165.7
1/649  [192],DALMINE,CASELLO,A04,167.7
1/648  [193],BERGAMO,CASELLO,A04,172.4
1/647  [194],SERIATE,CASELLO,A04,179.0
1/646  [195],GRUMELLO,CASELLO,A04,187.6
1/645  [196],PONTE OGLIO,CASELLO,A04,190.9
1/644  [197],PALAZZOLO,CASELLO,A04,193.1
10153,SEBINO SUD,DISTRIBUTORE,A04,197.5
1/643  [198],ROVATO,CASELLO,A04,201.3
1/642  [200],OSPITALETTO,CASELLO,A04,206.3
1/378  [70205],CASTEGNATO,ALLACCIAMENTO,A04,210.831
10157,VALTROMPIA SUD,DISTRIBUTORE,A04,213.7
1/641  [202],BRESCIA OVEST,ALLACCIAMENTO,A04,215.2
1/950  [149],CAMBIO COMPETENZA A4 T02 - BS/PD,CASELLO,A04,217.7
1/955  [70216],BIVIO A4/A21 TORINO-BRESCIA,ALLACCIAMENTO,A04,221.4
10163,SAN GIACOMO EST,DISTRIBUTORE,A04,227.5
1/618  [10],BRESCIA EST,ALLACCIAMENTO,A04,228.6
1/617  [848],DESENZANO,ALLACCIAMENTO,A04,244.3
10160,MONTE ALTO EST,DISTRIBUTORE,A04,245.6
1/616  [851],SIRMIONE,CASELLO,A04,251.7
1/615  [852],PESCHIERA,CASELLO,A04,259.2
1/614  [920],SOMMACAMPAGNA,CASELLO,A04,270.8
3754,MONTE BALDO SUD,DISTRIBUTORE,A04,272.7
1/951  [904],NODO A4/A22 BRENNERO-MODENA,ALLACCIAMENTO,A04,275.6
1/613  [924],VERONA SUD,CASELLO,A04,280.2
1/612  [925],VERONA EST,ALLACCIAMENTO,A04,290.1
3764,SCALIGERA EST,DISTRIBUTORE,A04,301.7
1/611  [927],SOAVE,ALLACCIAMENTO,A04,302.8
1/610  [831],MONTEBELLO,CASELLO,A04,311.834
1/5057  [71746],NODO A4/SPV PEDEMONTANA,ALLACCIAMENTO,A04,318.986
1/608  [834],VICENZA OVEST,ALLACCIAMENTO,A04,327.055
1/607  [835],VICENZA EST,ALLACCIAMENTO,A04,334.65
1/952  [836],BIVIO A4/A31 VICENZA-PIOVENE R.,ALLACCIAMENTO,A04,335.9
3769,TESINA EST,DISTRIBUTORE,A04,337.0
1/606  [838],GRISIGNANO,CASELLO,A04,343.7
10165,LIMENELLA EST,DISTRIBUTORE,A04,355.5
1/605  [839],PADOVA OVEST,ALLACCIAMENTO,A04,356.7
1/604  [531],PADOVA EST,CASELLO,A04,363.6
1/953  [453],BIVIO A4/A13 BOLOGNA-PADOVA,ALLACCIAMENTO,A04,364.5
10167,ARINO EST,DISTRIBUTORE,A04,373.5
1/1010  [2598],BIVIO A4/A57 OVEST TANG. DI MESTRE,ALLACCIAMENTO,A04,374.65
1/598  [2624],SPINEA,CASELLO,A04,380.405
1/597  [70112],MARTELLAGO-SCORZE',CASELLO,A04,389.391
1/596  [2600],PREGANZIOL,CASELLO,A04,400.115
1/1011  [2621],NODO A4/A27 VENEZIA-BELLUNO,ALLACCIAMENTO,A04,402.4
1/1012  [70770],BIVIO A4/A57 EST TANG. DI MESTRE,ALLACCIAMENTO,A04,406.976
1/513  [70767],MEOLO RONCADE,CASELLO,A04,416.159
1/511  [70766],SAN DONA' DI PIAVE,ALLACCIAMENTO,A04,424.669
10168,CALSTORTA SUD,DISTRIBUTORE,A04,425.5
1/510  [70765],CESSALTO,CASELLO,A04,432.369
1/509  [70764],SAN STINO DI LIVENZA,CASELLO,A04,439.013
1/944  [70769],BIVIO A4/A28 PORTOGRUARO-PORDENONE,ALLACCIAMENTO,A04,451.828
1/507  [70762],LATISANA,ALLACCIAMENTO,A04,466.892
10172,GONARS SUD,DISTRIBUTORE,A04,481.4
1/506  [70761],SAN GIORGIO DI NOGARO,CASELLO,A04,482.862
1/942  [70768],BIVIO A4/A23 PALMANOVA-TARVISIO,ALLACCIAMENTO,A04,489.7
1/504  [70759],PALMANOVA,CASELLO,A04,491.36
1/1017  [70771],ALL A4/A34,ALLACCIAMENTO,A04,501.572
1/502  [70758],REDIPUGLIA,CASELLO,A04,506.569
10171,DUINO SUD,DISTRIBUTORE,A04,513.3
1/501  [70757],TRIESTE LISERT,CASELLO,A04,515.406
*/1027  [1918],MONFALCONE,CASELLO,A04,515.657
*/1017  [1919],DUINO,CASELLO,A04,519.714
*/1182  [1920],CONF.COMP.A4 TO-TS/RACC.TS-SISTIANA,ALLACCIAMENTO,A04,522.321
*/1143  [4025],ALLAC. A05/TANGENZIALE TORINO,ALLACCIAMENTO,A05,2.0
*/1154  [4026],ALL. TANG. NORD TO / A05 TO-AO,ALLACCIAMENTO,A05,3.5
9/419  [72011],BARRIERA DI SETTIMO TORINESE,CASELLO,A05,3.7
1/401  [72008],TORINO NORD,CASELLO,A05,3.701
1/400  [72000],SETTIMO NORD,CASELLO,A05,4.0
1/402  [72003],VOLPIANO,CASELLO,A05,10.8
1/403  [72005],SAN GIORGIO,CASELLO,A05,24.9
1/404  [72004],SCARMAGNO,CASELLO,A05,33.0
10511,SCARMAGNO  EST,DISTRIBUTORE,A05,35.5
1/969  [72002],ALL. A4/A5,ALLACCIAMENTO,A05,37.2
1/407  [72006],IVREA,CASELLO,A05,39.3
1/408  [72001],QUINCINETTO,CASELLO,A05,53.4
1/409  [935],PONT SAINT MARTIN,CASELLO,A05,57.6
1/410  [936],VERRES,CASELLO,A05,70.1
10001,CHATILLON-SAINT VINCENT NORD,DISTRIBUTORE,A05,81.3
1/411  [937],CHATILLON-SAINT VINCENT,CASELLO,A05,81.3
1/412  [939],NUS,CASELLO,A05,92.7
1/1440  [2164],BIVIO A5/RACC. AO-GRAN SAN BERNARDO,ALLACCIAMENTO,A05,99.0
1/414  [5],AOSTA,CASELLO,A05,100.2
34/469  [2193],AOSTA EST,CASELLO,A05,101.1
*/1419  [2143],AREA MERCI TRAFORO MONTE BIANCO,ALLACCIAMENTO,A05,101.4
*/1421  [2145],AUTOPORTO,ALLACCIAMENTO,A05,102.0
*/5011  [1852],CAMBIO COMPETENZA A5 SAV/ RAV,CASELLO,A05,110.9
37/427  [2122],AOSTA OVEST SVINCOLO,CASELLO,A05,112.7
36/415  [1853],AOSTA OVEST,CASELLO,A05,112.8
37/428  [1854],MORGEX,CASELLO,A05,130.8
37/470  [2131],COURMAYEUR SUD,CASELLO,A05,138.0
*/1734  [2469],RACCORDO A5/SS26 DIR,ALLACCIAMENTO,A05,143.4
*/1229  [4029],ALL. DIRAMAZIONE MONCALIERI,ALLACCIAMENTO,A06,0.0
40,RIO DEI COCCHI OVEST,DISTRIBUTORE,A06,10.8
1/351  [910],TORINO,CASELLO,A06,13.0
1/352  [911],CARMAGNOLA,CASELLO,A06,13.1
10008,RIO COLORE OVEST,DISTRIBUTORE,A06,29.8
1/353  [912],MARENE,ALLACCIAMENTO,A06,34.6
10007,RIO GHIDONE OVEST,DISTRIBUTORE,A06,47.8
1/354  [914],FOSSANO,ALLACCIAMENTO,A06,49.3
1/1690  [2440],BIVIO A6/A33 ASTI-CUNEO,ALLACCIAMENTO,A06,55.2
1/355  [915],CARRU',CASELLO,A06,57.8
1/356  [1006],MONDOVI',CASELLO,A06,62.7
1/358  [1008],NIELLA TANARO,CASELLO,A06,70.6
1/359  [1009],CEVA,CASELLO,A06,81.0
10002,PRIERO OVEST,DISTRIBUTORE,A06,84.3
1/361  [1012],MILLESIMO,CASELLO,A06,97.1
1/362  [1015],ALTARE,CASELLO,A06,109.6
1/996  [2113],BIVIO A6/A10 SAVONA,ALLACCIAMENTO,A06,123.684
*/1169  [828],INIZIO A7 MILANO-GENOVA,ALLACCIAMENTO,A07,0.0
*/1671  [2413],CANTALUPA,CASELLO,A07,0.6
*/1086  [764],ASSAGO,CASELLO,A07,2.0
*/1149  [802],NODO A7/TANGENZIALE OVEST MI,ALLACCIAMENTO,A07,3.5
1/201  [745],MILANO OVEST,CASELLO,A07,4.1
1/202  [746],BINASCO,CASELLO,A07,10.5
1/203  [747],BEREGUARDO,ALLACCIAMENTO,A07,21.5
1/204  [748],GROPELLO CAIROLI,CASELLO,A07,30.6
10014,DORNO OVEST,DISTRIBUTORE,A07,33.6
1/205  [2572],CASEI GEROLA,CASELLO,A07,50.0
1/206  [751],CASTELNUOVO SCRIVIA,CASELLO,A07,54.0
10507,CASTELNUOVO  OVEST,DISTRIBUTORE,A07,60.6
1/961  [72052],ALL. A7/A21,ALLACCIAMENTO,A07,62.8
1/207  [753],TORTONA,CASELLO,A07,63.5
1/991  [546],BIVIO A7/DIRAMAZIONE A26 TRAFORI,ALLACCIAMENTO,A07,72.0
10013,BETTOLE NOVI LIGURE OVEST,DISTRIBUTORE,A07,80.3
1/208  [547],SERRAVALLE SCRIVIA,CASELLO,A07,84.5
1/209  [548],VIGNOLE BORBERA,CASELLO,A07,88.6
10010,VALLE SCRIVIA OVEST,DISTRIBUTORE,A07,92.5
1/210  [550],ISOLA DEL CANTONE,CASELLO,A07,100.7
10016,GIOVI OVEST,DISTRIBUTORE,A07,106.1
1/211  [552],RONCO SCRIVIA,CASELLO,A07,106.5
1/212  [553],BUSALLA,CASELLO,A07,111.5
1/213  [555],GENOVA BOLZANETO,CASELLO,A07,125.8
1/989  [479],BIVIO A7/A12 GENOVA-LIVORNO,ALLACCIAMENTO,A07,128.7
1/974  [465],BIVIO A7/A10 GENOVA-VENTIMIGLIA,ALLACCIAMENTO,A07,131.7
1/214  [466],GENOVA OVEST,CASELLO,A07,132.8
