nodo_id_1,nodo_name_1,nodo_type_1,nodo_id_2,nodo_name_2,nodo_type_2,distanza
1/108  [356],Monselice,CASELLO,1/107  [355],Boara,CASELLO,13.8
1/107  [355],Boara,CASELLO,1/106  [354],Rovigo,CASELLO,4.4
1/106  [354],Rovigo,CASELLO,10035,ADIGE OVEST,DISTRIBUTORE,5.1
10035,ADIGE OVEST,DISTRIBUTORE,1/113  [2493],Villamarzana,CASELLO,2.3
1/113  [2493],Villamarzana,CASELLO,1/105  [352],Occhiobello,CASELLO,13.9
1/105  [352],Occhiobello,CASELLO,10036,PO OVEST,DISTRIBUTORE,5.7
10036,PO OVEST,DISTRIBUTORE,1/104  [350],Ferrara nord,CASELLO,1.5
1/104  [350],Ferrara nord,CASELLO,1/103  [1114],Ferrara sud,ALLACCIAMENTO,8.2
1/103  [1114],Ferrara sud,ALLACCIAMENTO,1/102  [348],Altedo,CASELLO,13.2
1/102  [348],Altedo,CASELLO,10033,CASTEL BENTIVOGLIO OVEST,DISTRIBUTORE,8.8
10033,CASTEL BENTIVOGLIO OVEST,DISTRIBUTORE,1/100  [346],Bologna Interporto,CASELLO,3.8
1/100  [346],Bologna Interporto,CASELLO,1/101  [345],Bologna Arcoveggio,ALLACCIAMENTO,7.3
1/101  [345],Bologna Arcoveggio,ALLACCIAMENTO,1/973  [296],Bivio A13/A14 Bologna-Taranto,ALLACCIAMENTO,0.6
*/1928  [2833],Allacciamento SS1 Aurelia Sud/A12,ALLACCIAMENTO,*/5028  [2822],INIZIO RACCORDO ROSIGNANO,ALLACCIAMENTO,2.82
*/5028  [2822],INIZIO RACCORDO ROSIGNANO,ALLACCIAMENTO,1/302  [2735],Barriera di Rosignano,CASELLO,0.3
1/302  [2735],Barriera di Rosignano,CASELLO,1/301  [1108],Rosignano Marittimo,CASELLO,1.0
1/301  [1108],Rosignano Marittimo,CASELLO,3812,FINE EST,DISTRIBUTORE,5.9
3812,FINE EST,DISTRIBUTORE,1/300  [1107],Collesalvetti,ALLACCIAMENTO,22.2
1/300  [1107],Collesalvetti,ALLACCIAMENTO,1/1004  [70812],Bivio A12/Diramazione Livorno,ALLACCIAMENTO,7.6
1/1004  [70812],Bivio A12/Diramazione Livorno,ALLACCIAMENTO,1/5005  [70814],Cambio Competenza reale A12 CDT/SAT,CASELLO,0.24
1/5005  [70814],Cambio Competenza reale A12 CDT/SAT,CASELLO,3811,CASTAGNOLO EST,DISTRIBUTORE,6.46
3811,CASTAGNOLO EST,DISTRIBUTORE,1/287  [70808],Pisa Centro,ALLACCIAMENTO,1.9
1/287  [70808],Pisa Centro,ALLACCIAMENTO,1/986  [398],Bivio A12/Racc. A11 Firenze-Pisa,ALLACCIAMENTO,10.7
1/986  [398],Bivio A12/Racc. A11 Firenze-Pisa,ALLACCIAMENTO,1/1446  [70813],Nodo A12/Raccordo Lucca-Viareggio,ALLACCIAMENTO,15.4
1/1446  [70813],Nodo A12/Raccordo Lucca-Viareggio,ALLACCIAMENTO,10519,VERSILIA EST,DISTRIBUTORE,4.3
10519,VERSILIA EST,DISTRIBUTORE,1/282  [70805],Versilia,CASELLO,3.3
1/282  [70805],Versilia,CASELLO,1/281  [70804],Massa,CASELLO,11.5
1/281  [70804],Massa,CASELLO,1/280  [70803],Carrara,CASELLO,6.4
1/280  [70803],Carrara,CASELLO,1/279  [70802],Sarzana,CASELLO,8.4
1/279  [70802],Sarzana,CASELLO,3826,MAGRA EST,DISTRIBUTORE,5.1
3826,MAGRA EST,DISTRIBUTORE,1/987  [70811],Bivio A12/A15 Parma-La Spezia,ALLACCIAMENTO,2.1
1/987  [70811],Bivio A12/A15 Parma-La Spezia,ALLACCIAMENTO,1/272  [70797],Albiano Magra,CASELLO,1.28
1/272  [70797],Albiano Magra,CASELLO,10178,BRUGNATO EST,DISTRIBUTORE,16.32
10178,BRUGNATO EST,DISTRIBUTORE,1/275  [70800],Brugnato,CASELLO,1.0
1/275  [70800],Brugnato,CASELLO,1/274  [70799],Carrodano,CASELLO,5.7
1/274  [70799],Carrodano,CASELLO,1/273  [70798],Deiva Marina,CASELLO,9.6
1/273  [70798],Deiva Marina,CASELLO,1/5010  [70815],Cambio Competenza T01 - A12 CDT,CASELLO,11.1
1/5010  [70815],Cambio Competenza T01 - A12 CDT,CASELLO,3832,RIVIERA NORD,DISTRIBUTORE,0.7
3832,RIVIERA NORD,DISTRIBUTORE,1/266  [487],Sestri Levante,CASELLO,0.0
1/266  [487],Sestri Levante,CASELLO,1/265  [486],Lavagna,CASELLO,7.6
1/265  [486],Lavagna,CASELLO,1/264  [485],Chiavari,CASELLO,2.8
1/264  [485],Chiavari,CASELLO,1/263  [484],Rapallo,CASELLO,9.9
1/263  [484],Rapallo,CASELLO,1/262  [483],Recco,CASELLO,5.6
1/262  [483],Recco,CASELLO,3822,S.ILARIO NORD,DISTRIBUTORE,8.3
3822,S.ILARIO NORD,DISTRIBUTORE,1/261  [481],Genova Nervi,CASELLO,3.0
1/261  [481],Genova Nervi,CASELLO,1/260  [480],Genova est,CASELLO,7.3
1/260  [480],Genova est,CASELLO,1/989  [479],Bivio A12/A7 Milano-Genova,ALLACCIAMENTO,4.2
*/1189  [400],Bivio A11/SS 1 Aurelia,CASELLO,1/345  [399],Pisa nord,CASELLO,0.1
1/345  [399],Pisa nord,CASELLO,1/986  [398],Bivio A11/Racc. A12 Genova-Livorno,ALLACCIAMENTO,0.4
1/986  [398],Bivio A11/Racc. A12 Genova-Livorno,ALLACCIAMENTO,10031,MIGLIARINO SUD,DISTRIBUTORE,2.1
10031,MIGLIARINO SUD,DISTRIBUTORE,1/1009  [2142],Bivio A11/Raccordo Lucca-Viareggio,ALLACCIAMENTO,12.0
1/1009  [2142],Bivio A11/Raccordo Lucca-Viareggio,ALLACCIAMENTO,1/344  [396],Lucca est,CASELLO,1.0
1/344  [396],Lucca est,CASELLO,1/340  [2571],Capannori,CASELLO,8.8
1/340  [2571],Capannori,CASELLO,1/339  [394],Altopascio,CASELLO,7.9
1/339  [394],Altopascio,CASELLO,1/338  [393],Chiesina Uzzanese,CASELLO,2.9
1/338  [393],Chiesina Uzzanese,CASELLO,1/337  [392],Montecatini Terme,CASELLO,7.4
1/337  [392],Montecatini Terme,CASELLO,10030,SERRAVALLE SUD,DISTRIBUTORE,3.5
10030,SERRAVALLE SUD,DISTRIBUTORE,1/336  [409],Pistoia,CASELLO,8.1
1/336  [409],Pistoia,CASELLO,1/335  [408],Prato ovest,CASELLO,10.6
1/335  [408],Prato ovest,CASELLO,1/334  [500],Prato est,CASELLO,7.8
1/334  [500],Prato est,CASELLO,1/1000  [405],Bivio A11/A1 Milano-Napoli,ALLACCIAMENTO,3.85
1/1000  [405],Bivio A11/A1 Milano-Napoli,ALLACCIAMENTO,1/333  [406],Firenze ovest,CASELLO,0.95
1/333  [406],Firenze ovest,CASELLO,*/1270  [1126],Bivio A11/Firenze nord,ALLACCIAMENTO,0.4
*/1270  [1126],Bivio A11/Firenze nord,ALLACCIAMENTO,159,PERETOLA SUD,DISTRIBUTORE,0.8
159,PERETOLA SUD,DISTRIBUTORE,*/1094  [403],Sesto Fiorentino,CASELLO,1.1
*/1094  [403],Sesto Fiorentino,CASELLO,*/1168  [402],Firenze Peretola,CASELLO,1.9
*/1186  [963],Confine di Stato,CASELLO,1/496  [70795],Barriera Ventimiglia Confine,CASELLO,6.3
1/496  [70795],Barriera Ventimiglia Confine,CASELLO,1/495  [70794],Ventimiglia,CASELLO,0.0
1/495  [70794],Ventimiglia,CASELLO,1/494  [70787],Bordighera,CASELLO,6.0
1/494  [70787],Bordighera,CASELLO,108,BORDIGHERA SUD,DISTRIBUTORE,2.3
108,BORDIGHERA SUD,DISTRIBUTORE,1/493  [70786],Sanremo Ovest,CASELLO,4.1
1/493  [70786],Sanremo Ovest,CASELLO,1/491  [70785],Arma di Taggia,CASELLO,11.0
1/491  [70785],Arma di Taggia,CASELLO,126,CONIOLI SUD,DISTRIBUTORE,8.1
126,CONIOLI SUD,DISTRIBUTORE,1/490  [70784],Imperia Ovest,CASELLO,8.1
1/490  [70784],Imperia Ovest,CASELLO,1/489  [70783],Imperia Est,CASELLO,5.9
1/489  [70783],Imperia Est,CASELLO,1/488  [70782],San Bartolomeo,CASELLO,6.3
1/488  [70782],San Bartolomeo,CASELLO,130,VALLE CHIAPPA SUD,DISTRIBUTORE,2.3
130,VALLE CHIAPPA SUD,DISTRIBUTORE,1/487  [70793],Andora,CASELLO,4.5
1/487  [70793],Andora,CASELLO,1/486  [70792],Albenga,CASELLO,12.0
1/486  [70792],Albenga,CASELLO,1/497  [70796],Borghetto Santo Spirito,CASELLO,8.6
1/497  [70796],Borghetto Santo Spirito,CASELLO,1/485  [70791],Pietra Ligure,CASELLO,4.9
1/485  [70791],Pietra Ligure,CASELLO,1/484  [70790],Finale Ligure,CASELLO,4.7
1/484  [70790],Finale Ligure,CASELLO,1/483  [70789],Orco Feglino,CASELLO,3.6
1/483  [70789],Orco Feglino,CASELLO,1/482  [70788],Spotorno,CASELLO,6.7
1/482  [70788],Spotorno,CASELLO,1/1007  [2117],Bivio A10/Fine Complanare Savona,ALLACCIAMENTO,7.7
1/1007  [2117],Bivio A10/Fine Complanare Savona,ALLACCIAMENTO,1/1008  [2118],Cambio Competenza T01 / A10 CDT,CASELLO,0.2
1/1008  [2118],Cambio Competenza T01 / A10 CDT,CASELLO,1/1006  [2116],Bivio A10/Inizio Complanare Savona,ALLACCIAMENTO,0.8
1/1006  [2116],Bivio A10/Inizio Complanare Savona,ALLACCIAMENTO,1/221  [477],Albisola,CASELLO,7.6
1/221  [477],Albisola,CASELLO,1/220  [476],Celle Ligure,CASELLO,4.05
1/220  [476],Celle Ligure,CASELLO,1/219  [475],Varazze,CASELLO,5.55
1/219  [475],Varazze,CASELLO,10028,PIANI D'INVREA SUD,DISTRIBUTORE,0.5
10028,PIANI D'INVREA SUD,DISTRIBUTORE,1/218  [473],Arenzano,CASELLO,6.1
1/218  [473],Arenzano,CASELLO,1/990  [472],Bivio A10/A26 Trafori,ALLACCIAMENTO,7.6
1/990  [472],Bivio A10/A26 Trafori,ALLACCIAMENTO,1/217  [471],Genova Pra',CASELLO,1.9
1/217  [471],Genova Pra',CASELLO,1/216  [470],Genova Pegli,CASELLO,4.7
1/216  [470],Genova Pegli,CASELLO,1/215  [469],Genova Aeroporto,CASELLO,3.7
1/215  [469],Genova Aeroporto,CASELLO,1/974  [465],Bivio A10/A7 Milano-Genova,ALLACCIAMENTO,2.3
*/1211  [230],Chiasso,CASELLO,*/1407  [2124],Chiasso Uscita Merci,CASELLO,0.26
*/1407  [2124],Chiasso Uscita Merci,CASELLO,*/1406  [2123],Ponte Chiasso,CASELLO,0.11
*/1406  [2123],Ponte Chiasso,CASELLO,*/1206  [1113],Lago di Como,CASELLO,0.08
*/1206  [1113],Lago di Como,CASELLO,*/1205  [229],Como Monte Olimpino,CASELLO,1.76
*/1205  [229],Como Monte Olimpino,CASELLO,*/1204  [228],Como Centro,CASELLO,5.62
*/1204  [228],Como Centro,CASELLO,*/2920  [3059],Svincolo Viale Colombo Parcheggio,CASELLO,0.1
*/2920  [3059],Svincolo Viale Colombo Parcheggio,CASELLO,*/2821  [2978],BIVIO A9/A59 NORD,ALLACCIAMENTO,0.3
*/2821  [2978],BIVIO A9/A59 NORD,ALLACCIAMENTO,8/3  [227],Como Grandate,CASELLO,0.4
8/3  [227],Como Grandate,CASELLO,*/2820  [2977],BIVIO A9/A59 SUD,ALLACCIAMENTO,0.55
*/2820  [2977],BIVIO A9/A59 SUD,ALLACCIAMENTO,8/4  [226],Fino Mornasco,CASELLO,2.65
8/4  [226],Fino Mornasco,CASELLO,10019,LARIO OVEST,DISTRIBUTORE,2.2
10019,LARIO OVEST,DISTRIBUTORE,*/1203  [224],Lomazzo nord,CASELLO,2.2
*/1203  [224],Lomazzo nord,CASELLO,*/1909  [2761],SVINCOLO DI LOMAZZO SUD,CASELLO,1.8
*/1909  [2761],SVINCOLO DI LOMAZZO SUD,CASELLO,*/1214  [2930],BIVIO A9-A36 PEDEMONTANA,ALLACCIAMENTO,0.9
*/1214  [2930],BIVIO A9-A36 PEDEMONTANA,ALLACCIAMENTO,*/1202  [316],Turate,CASELLO,3.7
*/1202  [316],Turate,CASELLO,*/1201  [315],Saronno,CASELLO,3.3
*/1201  [315],Saronno,CASELLO,*/2794  [2765],Origgio,CASELLO,1.35
*/2794  [2765],Origgio,CASELLO,*/2493  [2764],Uboldo,CASELLO,0.45
*/2493  [2764],Uboldo,CASELLO,*/1209  [208],Bivio A9/A8 Milano-Varese,ALLACCIAMENTO,3.2
*/1212  [219],Varese,CASELLO,*/1207  [275],Gazzada,ALLACCIAMENTO,0.5
*/1207  [275],Gazzada,ALLACCIAMENTO,10017,BRUGHIERA OVEST,DISTRIBUTORE,1.2
10017,BRUGHIERA OVEST,DISTRIBUTORE,*/1199  [216],Castronno,CASELLO,0.6
*/1199  [216],Castronno,CASELLO,*/1198  [215],Solbiate Arno - Albizzate,CASELLO,4.4
