dtx,c_ads,nome,n_prg_str,n_prg_ram,n_prg_km,c_str,c_ram,c_ver_per,c_dir,t_des_str,t_des_ram,dir,cap,aspi,c_reg,c_soc,daDes,daDtx,daType,aaDes,aaDtx,c_unv_pnt_pri,c_unv_pnt_sec,aaType,carbCbrd,carbDesbrd,lon,lat,c_tip_dev,radius,position,autostrade_dtx,idImpianto,nome_impianto,Bandiera,Brand
3581,A95,GIOVE EST,1,1,481.1,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,10,6,Orte,3565,SC,Attigliano,3564,420,422,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,12.3123,42.49977,ADS,29,"{'lat': 42.49977, 'lon': 12.3123, 'type': 'ADS', 'radius': 29}",3581,3624.0,GIOVE EST,Api-Ip,IP GRUPPO API
10141,A96,GIOVE OVEST,1,1,481.1,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,10,6,Attigliano,3564,SC,Orte,3565,422,420,SC,a1CTk000000HIuzMAG,Esso,12.31172,42.49945,ADS,25,"{'lat': 42.49945, 'lon': 12.31172, 'type': 'ADS', 'radius': 25}",10141,54769.0,GIOVE OVEST,Esso,ESSO
3566,B05,FLAMINIA EST,1,1,509.1,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,12,6,Ponzano Romano-Soratte,11178,SC,Magliano Sabina,3580,2114,419,SC,a1C7T0000007cpHUAQ,ENI,12.49277,42.31623,ADS,27,"{'lat': 42.31623, 'lon': 12.49277, 'type': 'ADS', 'radius': 27}",3566,36843.0,FLAMINIA EST,Agip Eni,AGIP ENI
10135,B06,FLAMINIA OVEST,1,1,509.1,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,12,6,Magliano Sabina,3580,SC,Ponzano Romano-Soratte,11178,419,2114,SC,a1C7T0000007cpHUAQ,ENI,12.49197,42.31638,ADS,25,"{'lat': 42.31638, 'lon': 12.49197, 'type': 'ADS', 'radius': 25}",10135,59744.0,FLAMINIA OVEST,Agip Eni,AGIP ENI
10140,B21,MASCHERONE OVEST,1,1,535.6,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,12,6,Bivio Diramazione Roma Nord,3579,NC,Guidonia Montecelio,25237,167,2748,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,12.61725,42.12313,ADS,25,"{'lat': 42.12313, 'lon': 12.61725, 'type': 'ADS', 'radius': 25}",10140,41129.0,MASCHERONE OVEST,Api-Ip,IP GRUPPO API
3578,B20,MASCHERONE EST,1,1,535.6,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,12,6,Guidonia Montecelio,25237,SC,Bivio Diramazione Roma Nord,3579,2748,167,NC,a1C7T0000007cpQUAQ,IP GRUPPO API,12.6179,42.12376,ADS,32,"{'lat': 42.12376, 'lon': 12.6179, 'type': 'ADS', 'radius': 32}",3578,3549.0,MASCHERONE EST,Api-Ip,IP GRUPPO API
10145,B26,PRENESTINA OVEST,1,1,566.1,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,NAPOLI,NAPOLI,S,12,6,Allacciamento A1/A24,233596,NC,Bivio Diramazione Roma Sud,3594,71033,169,NC,a1C7T0000007cpQUAQ,IP GRUPPO API,12.75945,41.88879,ADS,51,"{'lat': 41.88879, 'lon': 12.75945, 'type': 'ADS', 'radius': 51}",10145,3598.0,PRENESTINA OVEST,Api-Ip,IP GRUPPO API
3595,B25,PRENESTINA EST,1,1,566.1,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,MILANO,S,12,6,Bivio Diramazione Roma Sud,3594,NC,Allacciamento A1/A24,233596,169,71033,NC,a1C7T0000007cpHUAQ,ENI,12.75835,41.8918,ADS,33,"{'lat': 41.8918, 'lon': 12.75835, 'type': 'ADS', 'radius': 33}",3595,3493.0,PRENESTINA EST,Agip Eni,AGIP ENI
10147,B41,LA MACCHIA OVEST,1,1,610.9,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,NAPOLI,NAPOLI,S,12,6,Anagni-Fiuggi,3608,SC,Ferentino,25066,462,2668,SC,a1C7T0000007cpHUAQ,ENI,13.18803,41.68585,ADS,23,"{'lat': 41.68585, 'lon': 13.18803, 'type': 'ADS', 'radius': 23}",10147,3748.0,LA MACCHIA OVEST,Agip Eni,AGIP ENI
3607,B40,LA MACCHIA EST,1,1,610.9,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,MILANO,S,12,6,Ferentino,25066,SC,Anagni-Fiuggi,3608,2668,462,SC,a1C7T0000007cphUAA,Q8,13.18865,41.68609,ADS,24,"{'lat': 41.68609, 'lon': 13.18865, 'type': 'ADS', 'radius': 24}",3607,29383.0,LA MACCHIA EST,Q8,Q8
10146,B46,CASILINA OVEST,1,1,659.5,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,NAPOLI,NAPOLI,S,12,6,Pontecorvo,3604,SC,Cassino,3602,719,721,SC,a1C7T0000007cpHUAQ,ENI,13.68387,41.4967,ADS,23,"{'lat': 41.4967, 'lon': 13.68387, 'type': 'ADS', 'radius': 23}",10146,3719.0,CASILINA OVEST,Agip Eni,AGIP ENI
3603,B45,CASILINA EST,1,1,659.5,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,MILANO,S,12,6,Cassino,3602,SC,Pontecorvo,3604,721,719,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,13.68375,41.4973,ADS,23,"{'lat': 41.4973, 'lon': 13.68375, 'type': 'ADS', 'radius': 23}",3603,36932.0,CASILINA EST,Api-Ip,IP GRUPPO API
10143,B51,TEANO OVEST,1,1,708.4,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,NAPOLI,NAPOLI,S,15,6,Caianello,3585,SC,Capua,3589,770,772,SC,a1C7T0000007cphUAA,Q8,14.0925,41.2342,ADS,19,"{'lat': 41.2342, 'lon': 14.0925, 'type': 'ADS', 'radius': 19}",10143,48308.0,TEANO OVEST,Q8,Q8
3586,B50,TEANO EST,1,1,708.4,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,MILANO,S,15,6,Capua,3589,SC,Caianello,3585,772,770,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,14.09335,41.23397,ADS,35,"{'lat': 41.23397, 'lon': 14.09335, 'type': 'ADS', 'radius': 35}",3586,51310.0,TEANO EST,Api-Ip,IP GRUPPO API
3587,B55,S.NICOLA EST,1,1,737.2,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,MILANO,S,15,6,Allacciamento A1/A30,3590,NC,Caserta Nord,3588,707,681,SC,a1C7T0000007cpHUAQ,ENI,14.32246,41.04985,ADS,22,"{'lat': 41.04985, 'lon': 14.32246, 'type': 'ADS', 'radius': 22}",3587,3668.0,S.NICOLA EST,Agip Eni,AGIP ENI
10144,B56,S.NICOLA OVEST,1,1,737.2,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,NAPOLI,NAPOLI,S,15,6,Caserta Nord,3588,SC,Allacciamento A1/A30,3590,681,707,NC,a1C7T0000007cqAUAQ,SARNI OIL,14.32205,41.04918,ADS,21,"{'lat': 41.04918, 'lon': 14.32205, 'type': 'ADS', 'radius': 21}",10144,3654.0,S.NICOLA OVEST,Sarni Oil,SARNI OIL
24854,B61,MASSERIA EST,1,1,754.0,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,MILANO,S,15,6,Casoria,3600,NS,Allacciamento A1/A16,3601,684,722,,,,14.31825,40.89232,ADS,25,"{'lat': 40.89232, 'lon': 14.31825, 'type': 'ADS', 'radius': 25}",24854,3515.0,MASSERIA EST,Q8,Q8
10094,B11,FERONIA OVEST,1,2,4.0,A01,D18,D,D,A1 MILANO-NAPOLI,A1 Diramazione Roma nord - GRA,G.R.A.,G.R.A.,S,12,6,Roma Nord,600,BC,Fiano Romano,597,511,510,SA,,,12.60238,42.13604,ADS,49,"{'lat': 42.13604, 'lon': 12.60238, 'type': 'ADS', 'radius': 49}",,,,,
599,B10,FERONIA EST,1,2,4.0,A01,D18,S,S,A1 MILANO-NAPOLI,A1 Diramazione Roma nord - GRA,AUTOSTRADA MILANO-NAPOLI,AUTOSTRADA MILANO-NAPOLI,S,12,6,Fiano Romano,597,SA,Roma Nord,600,510,511,BC,a1C7T0000007cphUAA,Q8,12.60345,42.13567,ADS,44,"{'lat': 42.13567, 'lon': 12.60345, 'type': 'ADS', 'radius': 44}",599,36292.0,FERONIA EST,Q8,Q8
10095,B16,SALARIA OVEST,1,2,21.1,A01,D18,D,D,A1 MILANO-NAPOLI,A1 Diramazione Roma nord - GRA,G.R.A.,G.R.A.,S,12,6,Settebagni,602,SL,Bivio D18/ Grande Raccordo Anulare,604,509,372,,a1C7T0000007cpHUAQ,ENI,12.52799,42.00345,ADS,27,"{'lat': 42.00345, 'lon': 12.52799, 'type': 'ADS', 'radius': 27}",10095,54985.0,SALARIA OVEST,Agip Eni,AGIP ENI
603,B15,SALARIA EST,1,2,21.1,A01,D18,S,S,A1 MILANO-NAPOLI,A1 Diramazione Roma nord - GRA,AUTOSTRADA MILANO-NAPOLI,AUTOSTRADA MILANO-NAPOLI,S,12,6,Bivio D18/ Grande Raccordo Anulare,604,,Settebagni,602,372,509,SL,a1C7T0000007cpHUAQ,ENI,12.52912,42.00437,ADS,52,"{'lat': 42.00437, 'lon': 12.52912, 'type': 'ADS', 'radius': 52}",603,50777.0,SALARIA EST,Agip Eni,AGIP ENI
