autostrade_dtx,autostrade_nome,idImpianto,nome_impianto
10160,MONTE ALTO EST,3635,MONTE ALTO SUD
3754,MONTE BALDO SUD,53193,MONTE BALDO EST
3753,MONTE BALDO NORD,3575,MONTE BALDO OVEST
10162,SCALIGERA OVEST,22213,SCALIGERA OVEST
3764,SCALIGERA EST,3561,SCALIGERA
3761,VILLA MOROSINI OVEST,3841,VILLA MOROSINI NORD
3769,TESINA EST,59857,TESINA SUD
3773,LIMENELLA OVEST,3907,LIMENELLA NORD
10165,LIMENELLA EST,25611,LIMENELLA SUD
10167,ARINO EST,24829,ARINO EST
3783,ARINO OVEST,57202,ARINO OVEST
10168,CALSTORTA SUD,3867,CALSTORTA SUD
3786,CALSTORTA NORD,41093,CALSTORTA NORD
10172,GONARS SUD,39804,GONARS SUD
3805,GONARS NORD,52227,GONARS NORD
10171,DUINO SUD,3898,DUINO SUD
3798,DUINO NORD,57736,DUINO NORD
1106,RIVOLI SUD,56769,RIVOLI SUD
10115,RIVOLI NORD,25612,RIVOLI NORD
1101,STURA NORD,57313,STURA NORD
1113,STURA SUD,3625,STURA SUD
1139,NICHELINO NORD,41432,NICHELINO NORD
1149,NICHELINO SUD,3626,NICHELINO SUD
548,BAUDUCCHI OVEST,52018,BAUDUCCHI OVEST
596,BEINASCO SUD,49146,BEINASCO NORD
10093,BEINASCO NORD,49146,BEINASCO NORD
3878,LA PIOPPA EST,3860,LA PIOPPA EST
10190,LA PIOPPA OVEST,3888,LA PIOPPA OVEST
3873,SILLARO EST,53965,SILLARO EST
10189,SILLARO OVEST,3858,SILLARO OVEST
3854,SANTERNO EST,3904,SANTERNO EST
10183,SANTERNO OVEST,46662,SANTERNO OVEST
3857,BEVANO EST,53032,BEVANO EST
10184,BEVANO OVEST,3587,BEVANO OVEST
3882,RUBICONE EST,52219,RUBICONE EST
10191,RUBICONE OVEST,57104,RUBICONE OVEST
3861,MONTEFELTRO EST,55534,MONTEFELTRO EST
10185,MONTEFELTRO OVEST,3714,MONTEFELTRO OVEST
10188,FOGLIA OVEST,53675,FOGLIA OVEST
10187,METAURO EST,3992,METAURO EST
3866,METAURO OVEST,3649,METAURO OVEST
3863,ESINO EST,3717,ESINO EST
10186,ESINO OVEST,3546,ESINO OVEST
3891,CONERO EST,51024,CONERO EST
10194,CONERO OVEST,3706,CONERO OVEST
3883,CHIENTI EST,43570,CHIENTI EST
10192,CHIENTI OVEST,51927,CHIENTI OVEST
3885,PICENO EST,46337,PICENO EST
10193,PICENO OVEST,3733,PICENO OVEST
3897,TORTORETO EST,54699,TORTORETO EST
10197,TORTORETO OVEST,3747,TORTORETO OVEST
10196,VOMANO OVEST,53673,VOMANO OVEST
3896,VOMANO EST,60691,VOMANO EST
10195,TORRE CERRANO OVEST,34295,TORRE CERRANO OVEST
3893,TORRE CERRANO EST,3715,TORRE CERRANO EST
3915,ALENTO EST,36293,ALENTO EST
10206,ALENTO OVEST,3730,ALENTO OVEST
10205,SANGRO OVEST,36284,SANGRO OVEST
3911,SANGRO EST,47702,SANGRO EST
3910,TRIGNO EST,47661,TRIGNO EST
10204,TRIGNO OVEST,37289,TRIGNO OVEST
3927,RIO VIVO EST,31338,RIO VIVO EST
10198,TORRE FANTINE OVEST,47640,TORRE FANTINE OVEST
3899,TORRE FANTINE EST,35466,TORRE FANTINE EST
10199,S.TRIFONE OVEST,36719,S.TRIFONE OVEST
24666,GARGANO OVEST,35465,GARGANO OVEST
3902,GARGANO EST,30081,GARGANO EST
3903,LE SALINE EST,35464,LE SALINE EST
10201,LE SALINE OVEST,36840,LE SALINE OVEST
10202,CANNE BATTAGLIA OVEST,54487,CANNE BATTAGLIA OVEST
3905,CANNE BATTAGLIA EST,3514,CANNE BATTAGLIA EST
10203,DOLMEN DI BISCEGLIE OVEST,38500,DOLMEN DI BISCEGLIE OVEST
3908,DOLMEN DI BISCEGLIE EST,38502,DOLMEN DI BISCEGLIE EST
3920,MURGE EST,3853,MURGE EST
10207,MURGE OVEST,47483,MURGE OVEST
24670,LE FONTI OVEST,3511,LE FONTI OVEST
3936,LE FONTI EST,35468,LE FONTI EST
584,S.EUFEMIA EST,37349,SANT'EUFEMIA EST
10092,S.EUFEMIA OVEST,37350,S.EUFEMIA OVEST
10511,SCARMAGNO  EST,3468,SCARMAGNO EST
10512,SCARMAGNO OVEST,35933,SCARMAGNO OVEST
18,CHATILLON-SAINT VINCENT SUD,47886,CHATILLON- ST. VINCENT SUD
10001,CHATILLON-SAINT VINCENT NORD,52063,CHATILLON- ST. VINCENT NORD
10102,VIVERONE NORD,31053,VIVERONE NORD
